First name,Last Name,Email Standardised,Phone number standardised,Date of Birth,Amount Fixed
Alice,Brown,alice@email.com,5554321098,12/7/1992,$90.00 
Anna,White,anna@email.com,5559876543,9/9/1980,
Bob,Johnson,bobjohnson@email.com,5559876543,3/25/1978,$120.75 
Brian,Smith,brian@email.com,5554321098,12/7/1987,
Catherine,Thomas,catherine@email.com,5558765432,6/15/1979,$105.20 
Chris,Jackson,chris@email.com,5558765432,8/30/1989,$105.20 
David,Green,david@email.com,5556543210,2/13/1968,$110.30 
Emily,Wilson,emily@email.com,5552345678,7/22/1983,
Emma,,emma@email.com,5557890123,9/18/1987,$82.80 
Grace,Davis,grace@email.com,5554321098,1/1/1984,
Jack,,jack@email.com,5553456789,,$120.75 
James,,james@email.com,5552109876,4/30/1988,$95.75 
Jane,Smith,janesmith@email.com,5555678901,8/10/1985,$75.25 
John,,john@email.com,5552345678,6/12/1973,$100.50 
John,Doe,johndoe@email.com,5551234567,5/25/1990,$100.50 
Laura,Brown,laura@email.com,5555678901,3/25/1997,$75.25 
Lisa,White,lisa.white@email.com,5553456789,11/8/1975,$85.50 
Marie,Davis,marie@email.com,,4/20/1974,$95.75 
Matthew,,matthew@email.com,5558765432,8/30/1991,$105.20 
Michael,,,5554321098,6/10/1991,$85.50 
Richard,,email@email.com,5552109876,2/28/1994,$110.30 
Robert,,robert@email.com,5557890123,9/18/1995,$82.80 
Sam,Thomas,sam@email.com,5558765432,6/15/1982,$105.20 
Sara,,sara@email.com,,4/20/1978,$85.50 
Sophie,,sophie@email.com,5557890123,11/7/1972,$120.75 
Susan,Green,susan@email.com,5556543210,2/13/1970,$110.30 
,,,5552109876,4/30/1992,$95.75 
,,,5556789012,12/15/1976,$88.90 
